Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
117,tt0051436,2013-04-17,2013-04-17,,The Buccaneer,https://www.imdb.com/title/tt0051436/,movie,6.6,119,1958,"Adventure, Drama, History, Romance, War",1932,1958-12-01,Anthony Quinn
118,tt0080453,2013-04-02,2013-04-02,,The Blue Lagoon,https://www.imdb.com/title/tt0080453/,movie,5.7,104,1980,"Adventure, Drama, Romance",56219,1980-06-20,Randal Kleiser
119,tt2017038,2013-08-16,2013-08-16,,All Is Lost,https://www.imdb.com/title/tt2017038/,movie,6.9,106,2013,"Action, Adventure, Drama",67734,2013-05-22,J.C. Chandor
120,tt2216240,2013-10-15,2013-10-15,,Kapringen,https://www.imdb.com/title/tt2216240/,movie,7.2,103,2012,"Drama, Thriller",14281,2012-09-03,Tobias Lindholm
121,tt1535109,2013-10-15,2013-10-15,,Captain Phillips,https://www.imdb.com/title/tt1535109/,movie,7.8,134,2013,"Biography, Drama, Thriller",370922,2013-09-27,Paul Greengrass
122,tt2375692,2014-09-28,2014-09-28,,Black Sails,https://www.imdb.com/title/tt2375692/,tvSeries,8.3,56,2014,"Adventure, Drama",76457,2014-01-25,
123,tt0168249,2014-10-09,2014-10-09,,Way Upstream,https://www.imdb.com/title/tt0168249/,tvMovie,8.1,101,1987,"Comedy, Drama, Horror",39,,Terry Johnson
124,tt2400631,2015-01-12,2015-01-12,,Crossbones,https://www.imdb.com/title/tt2400631/,tvSeries,6.5,60,2014,"Adventure, Drama",6359,2014-05-30,
125,tt2402207,2015-01-12,2015-01-12,,The Last Ship,https://www.imdb.com/title/tt2402207/,tvSeries,7.5,60,2014,"Action, Drama, Sci-Fi, Thriller, War",47601,2014-06-22,
126,tt2306299,2015-01-12,2015-01-12,,Vikings,https://www.imdb.com/title/tt2306299/,tvSeries,8.6,44,2013,"Action, Adventure, Drama, History, Romance, War",297930,2013-03-03,
127,tt2172103,2015-01-12,2015-01-12,,Last Resort,https://www.imdb.com/title/tt2172103/,tvSeries,7.4,60,2012,"Action, Drama, Mystery, Sci-Fi, Thriller",20141,2012-09-27,
128,tt0075529,2015-01-12,2015-01-12,,The Love Boat,https://www.imdb.com/title/tt0075529/,tvSeries,6.1,60,1977,"Comedy, Drama, Romance",6961,1977-05-05,
129,tt0061584,2015-01-12,2015-01-12,,Doctor Dolittle,https://www.imdb.com/title/tt0061584/,movie,6.2,152,1967,"Adventure, Comedy, Family, Fantasy, Musical, Romance",7179,1967-12-05,Richard Fleischer
130,tt1430137,2015-01-12,2015-01-12,,Blessed,https://www.imdb.com/title/tt1430137/,movie,6.4,83,2008,Drama,180,2008-10-24,Mark Aldridge
131,tt0054189,2015-01-15,2015-01-15,,Plein soleil,https://www.imdb.com/title/tt0054189/,movie,7.8,118,1960,"Crime, Drama, Thriller",11091,1960-03-10,René Clément
132,tt1430626,2015-02-01,2015-02-01,,The Pirates! In an Adventure with Scientists!,https://www.imdb.com/title/tt1430626/,movie,6.7,88,2012,"Animation, Adventure, Comedy, Family",40369,2012-03-28,"Peter Lord, Jeff Newitt"
133,tt1764275,2015-02-01,2015-02-01,,Djúpið,https://www.imdb.com/title/tt1764275/,movie,6.7,95,2012,"Action, Drama",4289,2012-09-07,Baltasar Kormákur
134,tt1390411,2015-02-01,2015-02-01,,In the Heart of the Sea,https://www.imdb.com/title/tt1390411/,movie,6.9,122,2015,"Action, Adventure, Biography, Drama, History, Thriller",102401,2015-12-02,Ron Howard
135,tt0210149,2015-02-02,2015-02-02,,Lakeboat,https://www.imdb.com/title/tt0210149/,movie,6.2,98,2000,Drama,572,2000-04-13,Joe Mantegna
136,tt0432149,2015-02-23,2015-02-23,,Thicker Than Water,https://www.imdb.com/title/tt0432149/,video,8.1,45,2000,Documentary,271,2000-01-01,"Emmett Malloy, Chris Malloy, Jack Johnson"
137,tt1390411,2016-01-14,2016-01-14,,In the Heart of the Sea,https://www.imdb.com/title/tt1390411/,movie,6.9,122,2015,"Action, Adventure, Biography, Drama, History, Thriller",102401,2015-12-02,Ron Howard
138,tt4175224,2016-01-14,2016-01-14,,Barinia: Food and People of the Mediterranean,https://www.imdb.com/title/tt4175224/,tvSeries,9.2,25,2015,Documentary,25,2015-01-15,
139,tt3541262,2016-02-14,2016-02-14,,Myeong-ryang,https://www.imdb.com/title/tt3541262/,movie,7.2,126,2014,"Action, History, War",8105,2014-07-30,Han-min Kim
140,tt3485166,2016-02-16,2016-02-16,,Hae-jeok: Ba-da-ro gan san-jeok,https://www.imdb.com/title/tt3485166/,movie,6.6,130,2014,"Action, Adventure, Comedy, Fantasy",2168,2014-08-06,Seok-hoon Lee
141,tt0120338,2016-02-16,2016-02-16,,Titanic,https://www.imdb.com/title/tt0120338/,movie,7.8,194,1997,"Drama, Romance",902155,1997-11-01,James Cameron
142,tt0053455,2016-02-16,2016-02-16,,The Wreck of the Mary Deare,https://www.imdb.com/title/tt0053455/,movie,6.8,105,1959,"Adventure, Crime, Drama, Mystery, Thriller",1939,1959-11-06,Michael Anderson
143,tt1313104,2016-02-16,2016-02-16,,The Cove,https://www.imdb.com/title/tt1313104/,movie,8.5,92,2009,"Documentary, Crime",44015,2009-04-25,Louie Psihoyos
144,tt1911607,2016-02-16,2016-02-16,,Nova Zembla,https://www.imdb.com/title/tt1911607/,movie,5.8,108,2011,"Drama, History",3790,2011-11-23,Reinout Oerlemans
145,tt0856008,2016-02-16,2016-02-16,,Sharkwater,https://www.imdb.com/title/tt0856008/,movie,8.0,89,2006,Documentary,4512,2006-09-11,Rob Stewart
146,tt2545118,2016-02-16,2016-02-16,,Blackfish,https://www.imdb.com/title/tt2545118/,movie,8.1,83,2013,"Documentary, Drama",53957,2013-01-19,Gabriela Cowperthwaite
147,tt0054357,2016-02-16,2016-02-16,,Swiss Family Robinson,https://www.imdb.com/title/tt0054357/,movie,7.2,126,1960,"Adventure, Family",11639,1960-12-10,Ken Annakin
148,tt1259615,2016-02-18,2016-02-18,,12 Meter ohne Kopf,https://www.imdb.com/title/tt1259615/,movie,5.5,108,2009,"Adventure, Biography, Comedy, Drama, History",377,2009-06-11,Sven Taddicken
149,tt0075294,2016-02-18,2016-02-18,,Swashbuckler,https://www.imdb.com/title/tt0075294/,movie,6.0,101,1976,"Action, Adventure, Comedy",1333,1976-07-29,James Goldstone
150,tt0893548,2016-02-18,2016-02-18,,Die Schatzinsel,https://www.imdb.com/title/tt0893548/,movie,4.7,186,2007,Adventure,393,2007-11-26,Hansjörg Thurn
151,tt0115825,2016-02-18,2016-02-18,,Captains Courageous,https://www.imdb.com/title/tt0115825/,tvMovie,6.8,93,1996,"Adventure, Drama, Family",296,1996-04-21,Michael Anderson
152,tt0075808,2016-02-18,2016-02-18,,Captains Courageous,https://www.imdb.com/title/tt0075808/,tvMovie,7.2,100,1977,Adventure,61,1977-12-04,Harvey Hart
153,tt1282135,2016-02-21,2016-02-21,,Brim,https://www.imdb.com/title/tt1282135/,movie,6.3,95,2010,Drama,327,2010-09-03,Árni Ásgeirsson
154,tt2036388,2016-03-08,2016-03-08,,Io sono Li,https://www.imdb.com/title/tt2036388/,movie,7.2,98,2011,Drama,1497,2011-09-05,Andrea Segre
155,tt2025690,2016-03-08,2016-03-08,,The Finest Hours,https://www.imdb.com/title/tt2025690/,movie,6.8,117,2016,"Action, Drama, History, Thriller",52693,2016-01-27,Craig Gillespie
156,tt3616916,2016-03-08,2016-03-08,,Bølgen,https://www.imdb.com/title/tt3616916/,movie,6.7,105,2015,"Action, Drama, Thriller",23854,2015-08-16,Roar Uthaug
157,tt3029476,2016-03-08,2016-03-08,,Pressure,https://www.imdb.com/title/tt3029476/,movie,5.6,91,2015,"Drama, Thriller",4105,2015-02-23,Ron Scalpello
158,tt2557276,2016-03-08,2016-03-08,,Against the Sun,https://www.imdb.com/title/tt2557276/,movie,6.5,100,2014,"Adventure, Biography, Drama, War",4402,2014-11-22,Brian Falk
